os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT (RADV NAVI21),32764436,7.0.9-arch2-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
175.785,5.68878,32.3457,0,98,74,76,2453,1000,5.56298,271,8.38451,0.000102997,0,4485,514899204
184.185,5.42932,32.3457,0,98,74,76,2453,1000,5.56298,271,8.38451,0.000102997,0,4485,619123620
184.588,5.41747,32.3457,0,98,74,76,2453,1000,5.56298,271,8.38451,0.000102997,0,4485,723297852
255.38,3.91573,32.3457,0,98,74,76,2453,1000,5.56298,271,8.38451,0.000102997,0,4485,827385512
215.291,4.64488,32.5123,0,98,74,76,2458,1000,5.56298,271,8.38476,0.000102997,0,4479,931463082
225.054,4.44338,32.5123,0,98,74,76,2458,1000,5.56298,271,8.38476,0.000102997,0,4479,1036003230
189.166,5.28635,32.5123,0,98,74,76,2458,1000,5.56298,271,8.38476,0.000102997,0,4479,1140079869
187.116,5.34429,32.5123,0,98,74,76,2458,1000,5.56298,271,8.38476,0.000102997,0,4479,1244205430
173.57,5.76135,32.5123,0,98,74,76,2458,1000,5.56298,271,8.38476,0.000102997,0,4479,1348284724
167.085,5.98497,32.4659,0,98,74,75,2450,1000,5.55562,271,8.38461,0.000102997,0,4479,1452371482
172.724,5.7896,32.4659,0,98,74,75,2450,1000,5.55562,271,8.38461,0.000102997,0,4479,1556541967
177.198,5.6434,32.4659,0,98,74,75,2450,1000,5.55562,271,8.38461,0.000102997,0,4479,1660669431
189.857,5.26713,32.4659,0,98,74,75,2450,1000,5.55562,271,8.38461,0.000102997,0,4479,1765119591
169.309,5.90635,32.4659,0,98,74,75,2450,1000,5.55562,271,8.38461,0.000102997,0,4479,1869205988
179.136,5.58235,33.7037,0,98,74,76,2446,1000,5.56298,271,8.38255,0.000102997,0,4491,1973285883
193.695,5.16276,33.7037,0,98,74,76,2446,1000,5.56298,271,8.38255,0.000102997,0,4491,2077362733
163.292,6.12401,33.7037,0,98,74,76,2446,1000,5.56298,271,8.38255,0.000102997,0,4491,2181454450
161.695,6.18446,33.7037,0,98,74,76,2446,1000,5.56298,271,8.38255,0.000102997,0,4491,2285533564
169.568,5.89733,33.7037,0,98,74,76,2446,1000,5.56298,271,8.38255,0.000102997,0,4491,2389629769
191.017,5.23513,32.125,0,98,74,75,2446,1000,5.56298,271,8.37638,0.000102997,0,4495,2493709885
216.962,4.6091,32.125,0,98,74,75,2446,1000,5.56298,271,8.37638,0.000102997,0,4495,2598110812
210.442,4.75191,32.125,0,98,74,75,2446,1000,5.56298,271,8.37638,0.000102997,0,4495,2702237054
182.1,5.49149,32.125,0,98,74,75,2446,1000,5.56298,271,8.37638,0.000102997,0,4495,2806315496
165.693,6.03526,32.125,0,98,74,75,2446,1000,5.56298,271,8.37638,0.000102997,0,4495,2910392416
195.238,5.12196,32.9588,0,99,74,76,2444,1000,5.56298,271,8.34251,0.000102997,0,4486,3014472331
194.054,5.15319,32.9588,0,99,74,76,2444,1000,5.56298,271,8.34251,0.000102997,0,4486,3118557065
175.253,5.70603,32.9588,0,99,74,76,2444,1000,5.56298,271,8.34251,0.000102997,0,4486,3222641609
177.351,5.63853,32.9588,0,99,74,76,2444,1000,5.56298,271,8.34251,0.000102997,0,4486,3326729700
191.634,5.21828,32.7091,0,99,74,76,2444,1000,5.56298,271,8.37231,0.000102997,0,4475,3430809535
179.108,5.58321,32.7091,0,99,74,76,2444,1000,5.56298,271,8.37231,0.000102997,0,4475,3534891894
173.211,5.7733,32.7091,0,99,74,76,2444,1000,5.56298,271,8.37231,0.000102997,0,4475,3638976929
186.914,5.35006,32.7091,0,99,74,76,2444,1000,5.56298,271,8.37231,0.000102997,0,4475,3743056664
170.63,5.86063,32.7091,0,99,74,76,2444,1000,5.56298,271,8.37231,0.000102997,0,4475,3847159632
151.65,6.59414,33.0846,0,98,74,76,2454,1000,5.56298,271,8.32834,0.000102997,0,4490,3951248094
132.984,7.51971,33.0846,0,98,74,76,2454,1000,5.56298,271,8.32834,0.000102997,0,4490,4058050032
201.686,4.9582,33.0846,0,98,74,76,2454,1000,5.56298,271,8.32834,0.000102997,0,4490,4162163941
200.675,4.98318,33.0846,0,98,74,76,2454,1000,5.56298,271,8.32834,0.000102997,0,4490,4266241281
182.272,5.4863,33.0846,0,98,74,76,2454,1000,5.56298,271,8.32834,0.000102997,0,4490,4370318982
191.822,5.21315,35.9801,0,99,74,76,2458,1000,5.56298,271,8.38213,0.000102997,0,4471,4474397245
186.884,5.3509,35.9801,0,99,74,76,2458,1000,5.56298,271,8.38213,0.000102997,0,4471,4578546680
222.635,4.49165,35.9801,0,99,74,76,2458,1000,5.56298,271,8.38213,0.000102997,0,4471,4682641934
137.48,7.27381,35.9801,0,99,74,76,2458,1000,5.56298,271,8.38213,0.000102997,0,4471,4786891758
175.032,5.71323,35.9801,0,99,74,76,2458,1000,5.56298,271,8.38213,0.000102997,0,4471,4890987613
192.005,5.20819,33.2497,0,96,74,75,2454,1000,5.56298,270,8.38079,0.000102997,0,4465,4995084991
179.47,5.57198,33.2497,0,96,74,75,2454,1000,5.56298,270,8.38079,0.000102997,0,4465,5099146551
177.221,5.64267,33.2497,0,96,74,75,2454,1000,5.56298,270,8.38079,0.000102997,0,4465,5203976413
177.349,5.6386,33.2497,0,96,74,75,2454,1000,5.56298,270,8.38079,0.000102997,0,4465,5308063060
180.178,5.55007,33.2497,0,96,74,75,2454,1000,5.56298,270,8.38079,0.000102997,0,4465,5412152343
185.351,5.39515,32.4224,0,99,74,76,2453,1000,5.55562,271,8.33919,0.000102997,0,4466,5516228602
217.511,4.59747,32.4224,0,99,74,76,2453,1000,5.55562,271,8.33919,0.000102997,0,4466,5620306363
164.233,6.08893,32.4224,0,99,74,76,2453,1000,5.55562,271,8.33919,0.000102997,0,4466,5724386618
177.975,5.61875,32.4224,0,99,74,76,2453,1000,5.55562,271,8.33919,0.000102997,0,4466,5828513582
188.601,5.3022,32.4224,0,99,74,76,2453,1000,5.55562,271,8.33919,0.000102997,0,4466,5932597034
189.762,5.26976,32.6633,0,99,74,76,2456,1000,5.55636,271,8.34613,0.000102997,0,4476,6036686988
178.905,5.58957,32.6633,0,99,74,76,2456,1000,5.55636,271,8.34613,0.000102997,0,4476,6140762414
197.751,5.05686,32.6633,0,99,74,76,2456,1000,5.55636,271,8.34613,0.000102997,0,4476,6244844393
211.243,4.73387,32.6633,0,99,74,76,2456,1000,5.55636,271,8.34613,0.000102997,0,4476,6348923447
198.558,5.03631,31.8182,0,99,74,76,2469,1000,5.55562,271,8.31493,0.000102997,0,4466,6453001589
199.376,5.01565,31.8182,0,99,74,76,2469,1000,5.55562,271,8.31493,0.000102997,0,4466,6557077386
187.241,5.3407,31.8182,0,99,74,76,2469,1000,5.55562,271,8.31493,0.000102997,0,4466,6661328002
202.997,4.92618,31.8182,0,99,74,76,2469,1000,5.55562,271,8.31493,0.000102997,0,4466,6765409249
206.52,4.84214,31.8182,0,99,74,76,2469,1000,5.55562,271,8.31493,0.000102997,0,4466,6869495416
200.808,4.97989,32.5377,0,98,74,76,2470,1000,5.55562,271,8.32156,0.000102997,0,4468,6973573237
205.09,4.8759,32.5377,0,98,74,76,2470,1000,5.55562,271,8.32156,0.000102997,0,4468,7077750345
206.432,4.8442,32.5377,0,98,74,76,2470,1000,5.55562,271,8.32156,0.000102997,0,4468,7181865847
235.638,4.2438,32.5377,0,98,74,76,2470,1000,5.55562,271,8.32156,0.000102997,0,4468,7286204367
183.897,5.43784,32.5377,0,98,74,76,2470,1000,5.55562,271,8.32156,0.000102997,0,4468,7390325439
190.078,5.26099,32.0802,0,98,73,76,2476,1000,5.55562,271,8.31021,0.000102997,0,4466,7494404242
195.117,5.12512,32.0802,0,98,73,76,2476,1000,5.55562,271,8.31021,0.000102997,0,4466,7598482133
197.288,5.06873,32.0802,0,98,73,76,2476,1000,5.55562,271,8.31021,0.000102997,0,4466,7702588077
216.438,4.62026,32.0802,0,98,73,76,2476,1000,5.55562,271,8.31021,0.000102997,0,4466,7807056641
190.751,5.24244,32.0802,0,98,73,76,2476,1000,5.55562,271,8.31021,0.000102997,0,4466,7911136376
247.55,4.03958,33.0413,0,98,73,76,2485,1000,5.55562,271,8.31114,0.000102997,0,4466,8015216492
181.259,5.51696,33.0413,0,98,73,76,2485,1000,5.55562,271,8.31114,0.000102997,0,4466,8119300124
167.304,5.97713,33.0413,0,98,73,76,2485,1000,5.55562,271,8.31114,0.000102997,0,4466,8223418862
197.405,5.06574,33.0413,0,98,73,76,2485,1000,5.55562,271,8.31114,0.000102997,0,4466,8327528683
172.061,5.81188,33.0413,0,98,73,76,2485,1000,5.55562,271,8.31114,0.000102997,0,4466,8432153259
186.505,5.36178,31.7839,0,98,73,76,2485,1000,5.55562,271,8.31112,0.000102997,0,4477,8536233335
206.154,4.85074,31.7839,0,98,73,76,2485,1000,5.55562,271,8.31112,0.000102997,0,4477,8640410402
175.421,5.70057,31.7839,0,98,73,76,2485,1000,5.55562,271,8.31112,0.000102997,0,4477,8744542605
195.162,5.12394,31.7839,0,98,73,76,2485,1000,5.55562,271,8.31112,0.000102997,0,4477,8848620467
184.463,5.42114,31.7839,0,98,73,76,2485,1000,5.55562,271,8.31112,0.000102997,0,4477,8953394694
193.636,5.16432,32.791,0,98,73,76,2482,1000,5.55562,271,8.31087,0.000102997,0,4466,9057494857
183.517,5.4491,32.791,0,98,73,76,2482,1000,5.55562,271,8.31087,0.000102997,0,4466,9161581104
150.735,6.63416,32.791,0,98,73,76,2482,1000,5.55562,271,8.31087,0.000102997,0,4466,9265894697
189.142,5.28702,32.791,0,98,73,76,2482,1000,5.55562,271,8.31087,0.000102997,0,4466,9369970815
202.901,4.9285,32.702,0,98,73,76,2485,1000,5.57483,271,8.32045,0.000102997,0,4490,9474765130
186.184,5.37104,32.702,0,98,73,76,2485,1000,5.57483,271,8.32045,0.000102997,0,4490,9578847069
205.742,4.86046,32.702,0,98,73,76,2485,1000,5.57483,271,8.32045,0.000102997,0,4490,9682936231
203.761,4.90771,32.702,0,98,73,76,2485,1000,5.57483,271,8.32045,0.000102997,0,4490,9787021837
204.539,4.88904,32.702,0,98,73,76,2485,1000,5.57483,271,8.32045,0.000102997,0,4490,9891124705
208.473,4.79679,34.2072,0,98,73,75,2489,1000,5.57483,271,8.32422,0.000102997,0,4467,9995201905
172.416,5.79992,34.2072,0,98,73,75,2489,1000,5.57483,271,8.32422,0.000102997,0,4467,10099329820
196.909,5.07849,34.2072,0,98,73,75,2489,1000,5.57483,271,8.32422,0.000102997,0,4467,10204065756
187.996,5.31925,34.2072,0,98,73,75,2489,1000,5.57483,271,8.32422,0.000102997,0,4467,10308142214
225.057,4.44331,34.2072,0,98,73,75,2489,1000,5.57483,271,8.32422,0.000102997,0,4467,10412233030
196.801,5.08127,34.2857,0,98,73,76,2485,1000,5.55562,271,8.3256,0.000102997,0,4475,10516326400
185.81,5.38185,34.2857,0,98,73,76,2485,1000,5.55562,271,8.3256,0.000102997,0,4475,10620428748
185.905,5.37911,34.2857,0,98,73,76,2485,1000,5.55562,271,8.3256,0.000102997,0,4475,10724649958
169.143,5.91215,34.2857,0,98,73,76,2485,1000,5.55562,271,8.3256,0.000102997,0,4475,10828728630
175.001,5.71426,34.2857,0,98,73,76,2485,1000,5.55562,271,8.3256,0.000102997,0,4475,10932771877
153.502,6.51457,34.6584,0,98,73,76,2486,1000,5.58576,271,8.32516,0.000102997,0,4466,11036855749
271.763,3.67968,34.6584,0,98,73,76,2486,1000,5.58576,271,8.32516,0.000102997,0,4466,11141285380
192.464,5.19578,34.6584,0,98,73,76,2486,1000,5.58576,271,8.32516,0.000102997,0,4466,11245454092
232.184,4.30692,34.6584,0,98,73,76,2486,1000,5.58576,271,8.32516,0.000102997,0,4466,11349536251
225.948,4.42579,34.6584,0,98,73,76,2486,1000,5.58576,271,8.32516,0.000102997,0,4466,11453761579
189.991,5.26341,37.2035,0,96,74,75,2502,1000,5.57483,262,8.34863,0.000102997,0,4441,11557839501
194.582,5.13923,37.2035,0,96,74,75,2502,1000,5.57483,262,8.34863,0.000102997,0,4441,11662032478
200.92,4.9771,37.2035,0,96,74,75,2502,1000,5.57483,262,8.34863,0.000102997,0,4441,11766077718
201.302,4.96766,37.2035,0,96,74,75,2502,1000,5.57483,262,8.34863,0.000102997,0,4441,11870137235
185.667,5.386,37.2035,0,96,74,75,2502,1000,5.57483,262,8.34863,0.000102997,0,4441,11974215828
204.152,4.8983,36.9949,0,98,74,75,2494,1000,5.57483,271,8.35788,0.000102997,0,4460,12078312254
194.165,5.15026,36.9949,0,98,74,75,2494,1000,5.57483,271,8.35788,0.000102997,0,4460,12182486796
184.356,5.4243,36.9949,0,98,74,75,2494,1000,5.57483,271,8.35788,0.000102997,0,4460,12286595906
195.928,5.10392,36.9949,0,98,74,75,2494,1000,5.57483,271,8.35788,0.000102997,0,4460,12390998306
205.02,4.87758,36.9674,0,98,74,76,2498,1000,5.57483,271,8.36082,0.000102997,0,4441,12495135318
192.566,5.19304,36.9674,0,98,74,76,2498,1000,5.57483,271,8.36082,0.000102997,0,4441,12599466865
181.046,5.52347,36.9674,0,98,74,76,2498,1000,5.57483,271,8.36082,0.000102997,0,4441,12703552862
217.633,4.59489,36.9674,0,98,74,76,2498,1000,5.57483,271,8.36082,0.000102997,0,4441,12807631975
183.783,5.44121,36.9674,0,98,74,76,2498,1000,5.57483,271,8.36082,0.000102997,0,4441,12911748950
205.826,4.85847,36.1675,0,98,74,76,2496,1000,5.57483,271,8.36497,0.000102997,0,4462,13015830248
180.83,5.53006,36.1675,0,98,74,76,2496,1000,5.57483,271,8.36497,0.000102997,0,4462,13120323849
201.205,4.97006,36.1675,0,98,74,76,2496,1000,5.57483,271,8.36497,0.000102997,0,4462,13224425555
194.289,5.14696,36.1675,0,98,74,76,2496,1000,5.57483,271,8.36497,0.000102997,0,4462,13328685818
183.003,5.4644,36.1675,0,98,74,76,2496,1000,5.57483,271,8.36497,0.000102997,0,4462,13432774570
158.91,6.29289,37.831,0,98,74,76,2496,1000,5.57483,271,8.37787,0.000102997,0,4466,13536869623
205.679,4.86195,37.831,0,98,74,76,2496,1000,5.57483,271,8.37787,0.000102997,0,4466,13641180832
222.67,4.49095,37.831,0,98,74,76,2496,1000,5.57483,271,8.37787,0.000102997,0,4466,13745276046
210.718,4.74567,37.831,0,98,74,76,2496,1000,5.57483,271,8.37787,0.000102997,0,4466,13849387941
202.313,4.94283,37.831,0,98,74,76,2496,1000,5.57483,271,8.37787,0.000102997,0,4466,13953559147
170.766,5.85597,36.809,0,98,74,76,2493,1000,5.57483,271,8.3773,0.000102997,0,4461,14057722659
188.098,5.31639,36.809,0,98,74,76,2493,1000,5.57483,271,8.3773,0.000102997,0,4461,14161801843
