os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT (RADV NAVI21),32764436,7.0.9-arch2-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
184.204,5.42878,29.5652,0,98,75,77,2478,1000,5.05432,271,6.04397,0.000106812,0,4445,121333723
178.978,5.58728,29.5652,0,98,75,77,2478,1000,5.05432,271,6.04397,0.000106812,0,4445,225471988
162.871,6.13983,29.5652,0,98,75,77,2478,1000,5.05432,271,6.04397,0.000106812,0,4445,329528269
165.737,6.03364,29.5652,0,98,75,77,2478,1000,5.05432,271,6.04397,0.000106812,0,4445,433617572
165.897,6.02782,29.1407,0,98,75,76,2478,1000,5.05432,271,6.04358,0.000106812,0,4462,537915916
189.265,5.28361,29.1407,0,98,75,76,2478,1000,5.05432,271,6.04358,0.000106812,0,4462,642526597
171.8,5.82071,29.1407,0,98,75,76,2478,1000,5.05432,271,6.04358,0.000106812,0,4462,746612523
185.268,5.39758,29.1407,0,98,75,76,2478,1000,5.05432,271,6.04358,0.000106812,0,4462,850694151
176.621,5.66186,29.1407,0,98,75,76,2478,1000,5.05432,271,6.04358,0.000106812,0,4462,954788694
153.746,6.50425,29.6621,0,98,75,77,2477,1000,5.05432,271,6.03976,0.000106812,0,4441,1060518713
162.957,6.13659,29.6621,0,98,75,77,2477,1000,5.05432,271,6.03976,0.000106812,0,4441,1164601774
174.194,5.74071,29.6621,0,98,75,77,2477,1000,5.05432,271,6.03976,0.000106812,0,4441,1268693110
180.928,5.52706,29.6621,0,98,75,77,2477,1000,5.05432,271,6.03976,0.000106812,0,4441,1372772795
183.895,5.43787,29.6621,0,98,75,77,2477,1000,5.05432,271,6.03976,0.000106812,0,4441,1476853812
184.713,5.41379,31.9149,0,98,76,77,2475,1000,5.03247,271,6.0754,0.000106812,0,4442,1580932646
175.479,5.69869,31.9149,0,98,76,77,2475,1000,5.03247,271,6.0754,0.000106812,0,4442,1685013312
197.528,5.06256,31.9149,0,98,76,77,2475,1000,5.03247,271,6.0754,0.000106812,0,4442,1789098908
179.145,5.58209,31.9149,0,98,76,77,2475,1000,5.03247,271,6.0754,0.000106812,0,4442,1893175798
212.663,4.70227,31.9149,0,98,76,77,2475,1000,5.03247,271,6.0754,0.000106812,0,4442,1997254390
174.93,5.71656,31.1333,0,98,76,77,2477,1000,5.03247,271,6.05451,0.000106812,0,4442,2101295072
149.983,6.66743,31.1333,0,98,76,77,2477,1000,5.03247,271,6.05451,0.000106812,0,4442,2205377662
173.735,5.75588,31.1333,0,98,76,77,2477,1000,5.03247,271,6.05451,0.000106812,0,4442,2309457547
193.378,5.17122,31.1333,0,98,76,77,2477,1000,5.03247,271,6.05451,0.000106812,0,4442,2413508358
156.222,6.40116,31.1333,0,98,76,77,2477,1000,5.03247,271,6.05451,0.000106812,0,4442,2517581731
