os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT (RADV NAVI21),32764436,7.0.9-arch2-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
259.524,3.8532,32.134,0,98,74,76,2461,1000,5.3146,271,8.42007,0.000102997,0,4459,566998813
185.512,5.39049,32.134,0,98,74,76,2461,1000,5.3146,271,8.42007,0.000102997,0,4459,671169608
187.143,5.34352,32.134,0,98,74,76,2461,1000,5.3146,271,8.42007,0.000102997,0,4459,775267818
190.849,5.23975,32.134,0,98,74,76,2461,1000,5.3146,271,8.42007,0.000102997,0,4459,879350819
198.288,5.04317,32.5871,0,98,74,76,2455,1000,5.3146,271,8.43124,0.000102997,0,4466,983453466
238.129,4.19941,32.5871,0,98,74,76,2455,1000,5.3146,271,8.43124,0.000102997,0,4466,1088371363
175.472,5.69893,32.5871,0,98,74,76,2455,1000,5.3146,271,8.43124,0.000102997,0,4466,1192532570
246.339,4.05944,32.5871,0,98,74,76,2455,1000,5.3146,271,8.43124,0.000102997,0,4466,1296628796
200.011,4.99973,32.5871,0,98,74,76,2455,1000,5.3146,271,8.43124,0.000102997,0,4466,1400867539
176.721,5.65864,33.1242,0,98,74,76,2451,1000,5.29275,271,8.42548,0.000102997,0,4461,1504968363
178.375,5.60618,33.1242,0,98,74,76,2451,1000,5.29275,271,8.42548,0.000102997,0,4461,1609051424
196.303,5.09417,33.1242,0,98,74,76,2451,1000,5.29275,271,8.42548,0.000102997,0,4461,1713097586
168.291,5.94208,33.1242,0,98,74,76,2451,1000,5.29275,271,8.42548,0.000102997,0,4461,1818173449
176.148,5.67703,33.1242,0,98,74,76,2451,1000,5.29275,271,8.42548,0.000102997,0,4461,1922271448
173.955,5.74861,32.5466,0,98,74,76,2450,1000,5.29275,271,8.42639,0.000102997,0,4455,2026358306
171.27,5.83873,32.5466,0,98,74,76,2450,1000,5.29275,271,8.42639,0.000102997,0,4455,2130460643
190.807,5.2409,32.5466,0,98,74,76,2450,1000,5.29275,271,8.42639,0.000102997,0,4455,2234555276
165.511,6.04188,32.5466,0,98,74,76,2450,1000,5.29275,271,8.42639,0.000102997,0,4455,2338810670
173.626,5.7595,32.5466,0,98,74,76,2450,1000,5.29275,271,8.42639,0.000102997,0,4455,2443001503
157.569,6.34643,33.2918,0,98,74,76,2443,1000,5.29275,271,8.43185,0.000102997,0,4466,2547100765
179.834,5.5607,33.2918,0,98,74,76,2443,1000,5.29275,271,8.43185,0.000102997,0,4466,2651193614
167.619,5.96592,33.2918,0,98,74,76,2443,1000,5.29275,271,8.43185,0.000102997,0,4466,2755254263
186.34,5.36653,33.2918,0,98,74,76,2443,1000,5.29275,271,8.43185,0.000102997,0,4466,2859342203
177.089,5.64689,33.2918,0,98,74,76,2443,1000,5.29275,271,8.43185,0.000102997,0,4466,2964288373
173.688,5.75743,31.8804,0,98,74,76,2447,1000,5.29275,271,8.43206,0.000102997,0,4466,3068392042
204.331,4.89402,31.8804,0,98,74,76,2447,1000,5.29275,271,8.43206,0.000102997,0,4466,3172482367
203.873,4.90503,31.8804,0,98,74,76,2447,1000,5.29275,271,8.43206,0.000102997,0,4466,3277385576
166.507,6.00575,31.8804,0,98,74,76,2447,1000,5.29275,271,8.43206,0.000102997,0,4466,3381480189
171.088,5.84495,32.419,0,98,74,76,2447,1000,5.29275,271,8.48186,0.000102997,0,4466,3485573860
181.201,5.51873,32.419,0,98,74,76,2447,1000,5.29275,271,8.48186,0.000102997,0,4466,3589656460
166.823,5.99438,32.419,0,98,74,76,2447,1000,5.29275,271,8.48186,0.000102997,0,4466,3693754569
174.019,5.7465,32.419,0,98,74,76,2447,1000,5.29275,271,8.48186,0.000102997,0,4466,3797839183
177.577,5.63136,32.419,0,98,74,76,2447,1000,5.29275,271,8.48186,0.000102997,0,4466,3901922885
179.416,5.57364,32.25,0,98,74,76,2444,1000,5.28539,271,8.48219,0.000102997,0,4447,4006003011
186.159,5.37174,32.25,0,98,74,76,2444,1000,5.28539,271,8.48219,0.000102997,0,4447,4110115537
174.696,5.72422,32.25,0,98,74,76,2444,1000,5.28539,271,8.48219,0.000102997,0,4447,4214206393
182.674,5.47424,32.25,0,98,74,76,2444,1000,5.28539,271,8.48219,0.000102997,0,4447,4318291979
202.268,4.94394,32.25,0,98,74,76,2444,1000,5.28539,271,8.48219,0.000102997,0,4447,4422376352
201.418,4.96479,32.342,0,98,74,76,2443,1000,5.28539,271,8.48283,0.000102997,0,4458,4526467017
195.786,5.10762,32.342,0,98,74,76,2443,1000,5.28539,271,8.48283,0.000102997,0,4458,4630561149
176.524,5.66495,32.342,0,98,74,76,2443,1000,5.28539,271,8.48283,0.000102997,0,4458,4734646685
179.229,5.57945,32.342,0,98,74,76,2443,1000,5.28539,271,8.48283,0.000102997,0,4458,4838749193
177.862,5.62233,32.342,0,98,74,76,2443,1000,5.28539,271,8.48283,0.000102997,0,4458,4943033631
193.614,5.16491,41.0579,0,98,75,76,2446,1000,5.29275,271,8.46641,0.000102997,0,4464,5047127673
182.685,5.4739,41.0579,0,98,75,76,2446,1000,5.29275,271,8.46641,0.000102997,0,4464,5151216344
167.971,5.95339,41.0579,0,98,75,76,2446,1000,5.29275,271,8.46641,0.000102997,0,4464,5255304435
178.87,5.59065,41.0579,0,98,75,76,2446,1000,5.29275,271,8.46641,0.000102997,0,4464,5359433793
168.862,5.92199,41.0579,0,98,75,76,2446,1000,5.29275,271,8.46641,0.000102997,0,4464,5464124663
185.495,5.39097,31.7955,0,98,75,76,2439,1000,5.29275,271,8.45351,0.000102997,0,4456,5568219076
189.334,5.28166,31.7955,0,98,75,76,2439,1000,5.29275,271,8.45351,0.000102997,0,4456,5672328336
188.28,5.31123,31.7955,0,98,75,76,2439,1000,5.29275,271,8.45351,0.000102997,0,4456,5776414473
182.74,5.47225,31.7955,0,98,75,76,2439,1000,5.29275,271,8.45351,0.000102997,0,4456,5880846017
174.432,5.73289,31.7955,0,98,75,76,2439,1000,5.29275,271,8.45351,0.000102997,0,4456,5984949046
179.447,5.57269,32.6303,0,98,75,76,2441,1000,5.28187,271,8.45269,0.000102997,0,4464,6089043208
174.964,5.71546,32.6303,0,98,75,76,2441,1000,5.28187,271,8.45269,0.000102997,0,4464,6193133983
172.689,5.79076,32.6303,0,98,75,76,2441,1000,5.28187,271,8.45269,0.000102997,0,4464,6297223927
180.304,5.5462,32.6303,0,98,75,76,2441,1000,5.28187,271,8.45269,0.000102997,0,4464,6401318710
187.085,5.34515,33.0012,0,98,75,76,2443,1000,5.28187,271,8.42905,0.000102997,0,4464,6505402302
189.929,5.26513,33.0012,0,98,75,76,2443,1000,5.28187,271,8.42905,0.000102997,0,4464,6609489661
180.411,5.54291,33.0012,0,98,75,76,2443,1000,5.28187,271,8.42905,0.000102997,0,4464,6713575528
173.468,5.76475,33.0012,0,98,75,76,2443,1000,5.28187,271,8.42905,0.000102997,0,4464,6817675631
155.181,6.4441,33.0012,0,98,75,76,2443,1000,5.28187,271,8.42905,0.000102997,0,4464,6921797525
168.621,5.93045,33.583,0,98,75,76,2446,1000,5.27451,271,8.45349,0.000102997,0,4467,7025892608
160.42,6.23365,33.583,0,98,75,76,2446,1000,5.27451,271,8.45349,0.000102997,0,4467,7129976641
167.087,5.98491,33.583,0,98,75,76,2446,1000,5.27451,271,8.45349,0.000102997,0,4467,7234302217
187.28,5.3396,33.583,0,98,75,76,2446,1000,5.27451,271,8.45349,0.000102997,0,4467,7338386330
201.594,4.96046,33.583,0,98,75,76,2446,1000,5.27451,271,8.45349,0.000102997,0,4467,7442471836
183.994,5.43496,33.1258,0,98,75,76,2454,1000,5.29275,271,8.4621,0.000102997,0,4481,7546548655
201.228,4.96948,33.1258,0,98,75,76,2454,1000,5.29275,271,8.4621,0.000102997,0,4481,7650636745
182.746,5.47207,33.1258,0,98,75,76,2454,1000,5.29275,271,8.4621,0.000102997,0,4481,7754721550
201.524,4.96218,33.1258,0,98,75,76,2454,1000,5.29275,271,8.4621,0.000102997,0,4481,7858802236
186.98,5.34816,33.1258,0,98,75,76,2454,1000,5.29275,271,8.4621,0.000102997,0,4481,7962891940
193.118,5.17818,34.1191,0,98,75,76,2460,1000,5.29275,271,8.45738,0.000102997,0,4450,8066995489
186.67,5.35705,34.1191,0,98,75,76,2460,1000,5.29275,271,8.45738,0.000102997,0,4450,8171387139
199.007,5.02495,34.1191,0,98,75,76,2460,1000,5.29275,271,8.45738,0.000102997,0,4450,8275477654
211.79,4.72166,34.1191,0,98,75,76,2460,1000,5.29275,271,8.45738,0.000102997,0,4450,8379667876
167.813,5.959,34.1191,0,98,75,76,2460,1000,5.29275,271,8.45738,0.000102997,0,4450,8483756127
186.38,5.36537,36.1596,0,98,75,76,2460,1000,5.29275,271,8.50126,0.000102997,0,4441,8587851130
189.535,5.27607,36.1596,0,98,75,76,2460,1000,5.29275,271,8.50126,0.000102997,0,4441,8691943038
190.647,5.2453,36.1596,0,98,75,76,2460,1000,5.29275,271,8.50126,0.000102997,0,4441,8796094127
186.132,5.37254,36.1596,0,98,75,76,2460,1000,5.29275,271,8.50126,0.000102997,0,4441,8900194991
180.923,5.5272,36.1596,0,98,75,76,2460,1000,5.29275,271,8.50126,0.000102997,0,4441,9004278934
173.78,5.75439,33.5411,0,97,75,76,2456,1000,5.30151,270,8.48916,0.000102997,0,4453,9108362155
172.783,5.7876,33.5411,0,97,75,76,2456,1000,5.30151,270,8.48916,0.000102997,0,4453,9212656302
180.18,5.55,33.5411,0,97,75,76,2456,1000,5.30151,270,8.48916,0.000102997,0,4453,9316750504
173.56,5.76168,33.5411,0,97,75,76,2456,1000,5.30151,270,8.48916,0.000102997,0,4453,9420841249
181.557,5.50793,33.2503,0,98,75,76,2452,1000,5.28276,271,8.48764,0.000102997,0,4442,9525414329
185.942,5.37801,33.2503,0,98,75,76,2452,1000,5.28276,271,8.48764,0.000102997,0,4442,9629497701
186.318,5.36716,33.2503,0,98,75,76,2452,1000,5.28276,271,8.48764,0.000102997,0,4442,9733593015
174.689,5.72445,33.2503,0,98,75,76,2452,1000,5.28276,271,8.48764,0.000102997,0,4442,9837674884
158.25,6.31913,33.2503,0,98,75,76,2452,1000,5.28276,271,8.48764,0.000102997,0,4442,9941826403
159.783,6.25848,33.1665,0,98,75,76,2455,1000,5.28276,271,8.48574,0.000102997,0,4454,10045910316
183.47,5.45048,33.1665,0,98,75,76,2455,1000,5.28276,271,8.48574,0.000102997,0,4454,10149969963
178.957,5.58795,33.1665,0,98,75,76,2455,1000,5.28276,271,8.48574,0.000102997,0,4454,10254051201
180.727,5.53321,33.1665,0,98,75,76,2455,1000,5.28276,271,8.48574,0.000102997,0,4454,10358135464
175.343,5.70311,33.1665,0,98,75,76,2455,1000,5.28276,271,8.48574,0.000102997,0,4454,10462235687
202.751,4.93216,32.6708,0,99,75,76,2465,1000,5.29011,271,8.4822,0.000102997,0,4441,10567283527
166.34,6.01177,32.6708,0,99,75,76,2465,1000,5.29011,271,8.4822,0.000102997,0,4441,10671351209
190.006,5.263,32.6708,0,99,75,76,2465,1000,5.29011,271,8.4822,0.000102997,0,4441,10775441334
193.053,5.17992,32.6708,0,99,75,76,2465,1000,5.29011,271,8.4822,0.000102997,0,4441,10879527471
166.361,6.01102,32.6708,0,99,75,76,2465,1000,5.29011,271,8.4822,0.000102997,0,4441,10983611664
186.98,5.34818,32.791,0,99,75,76,2466,1000,5.29011,271,8.47548,0.000102997,0,4463,11087940075
193.301,5.17327,32.791,0,99,75,76,2466,1000,5.29011,271,8.47548,0.000102997,0,4463,11192025711
176.553,5.66403,32.791,0,99,75,76,2466,1000,5.29011,271,8.47548,0.000102997,0,4463,11296106608
177.186,5.6438,32.791,0,99,75,76,2466,1000,5.29011,271,8.47548,0.000102997,0,4463,11400191362
182.253,5.48688,32.791,0,99,75,76,2466,1000,5.29011,271,8.47548,0.000102997,0,4463,11504315099
193.443,5.16948,33.6671,0,98,75,76,2475,1000,5.29011,271,8.47729,0.000102997,0,4458,11608411215
196.913,5.07837,33.6671,0,98,75,76,2475,1000,5.29011,271,8.47729,0.000102997,0,4458,11712500608
175.587,5.6952,33.6671,0,98,75,76,2475,1000,5.29011,271,8.47729,0.000102997,0,4458,11816570725
196.641,5.0854,33.6671,0,98,75,76,2475,1000,5.29011,271,8.47729,0.000102997,0,4458,11920654116
172.219,5.80658,33.6671,0,98,75,76,2475,1000,5.29011,271,8.47729,0.000102997,0,4458,12024737388
186.125,5.37273,33.4586,0,98,75,76,2473,1000,5.29011,271,8.4762,0.000102997,0,4468,12128826941
159.678,6.26259,33.4586,0,98,75,76,2473,1000,5.29011,271,8.4762,0.000102997,0,4468,12234053035
183.822,5.44006,33.4586,0,98,75,76,2473,1000,5.29011,271,8.4762,0.000102997,0,4468,12338142859
190.073,5.26114,33.4586,0,98,75,76,2473,1000,5.29011,271,8.4762,0.000102997,0,4468,12442230198
166.321,6.01247,32.834,0,98,75,76,2476,1000,5.29011,271,8.47556,0.000102997,0,4455,12546318809
186.109,5.37319,32.834,0,98,75,76,2476,1000,5.29011,271,8.47556,0.000102997,0,4455,12650406369
182.491,5.47973,32.834,0,98,75,76,2476,1000,5.29011,271,8.47556,0.000102997,0,4455,12754490462
185.569,5.38882,32.834,0,98,75,76,2476,1000,5.29011,271,8.47556,0.000102997,0,4455,12858581227
199.065,5.02349,32.834,0,98,75,76,2476,1000,5.29011,271,8.47556,0.000102997,0,4455,12962669939
171.397,5.83441,33.5821,0,99,75,76,2486,1000,5.28275,271,8.48078,0.000102997,0,4403,13066942225
143.86,6.95119,33.5821,0,99,75,76,2486,1000,5.28275,271,8.48078,0.000102997,0,4403,13171033682
204.736,4.88435,33.5821,0,99,75,76,2486,1000,5.28275,271,8.48078,0.000102997,0,4403,13275123976
180.112,5.55211,33.5821,0,99,75,76,2486,1000,5.28275,271,8.48078,0.000102997,0,4403,13379216625
