os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT (RADV NAVI21),32764436,7.0.9-arch2-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
183.989,5.4351,28.625,0,98,75,76,2470,1000,4.95515,271,5.91871,0.000106812,0,4456,533759324
210.967,4.74008,28.625,0,98,75,76,2470,1000,4.95515,271,5.91871,0.000106812,0,4456,638519564
183.57,5.44751,28.625,0,98,75,76,2470,1000,4.95515,271,5.91871,0.000106812,0,4456,742604108
180.496,5.5403,28.625,0,98,75,76,2470,1000,4.95515,271,5.91871,0.000106812,0,4456,846879740
201.392,4.96543,29.75,0,99,75,76,2471,1000,4.95468,271,5.91894,0.000106812,0,4451,950969193
183.093,5.46171,29.75,0,99,75,76,2471,1000,4.95468,271,5.91894,0.000106812,0,4451,1055034642
169.774,5.89018,29.75,0,99,75,76,2471,1000,4.95468,271,5.91894,0.000106812,0,4451,1159114547
192.993,5.18153,29.75,0,99,75,76,2471,1000,4.95468,271,5.91894,0.000106812,0,4451,1263197127
178.895,5.58988,29.75,0,99,75,76,2471,1000,4.95468,271,5.91894,0.000106812,0,4451,1367280609
167.722,5.96226,29.9252,0,98,75,76,2474,1000,4.95468,271,5.91942,0.000106812,0,4441,1471359001
170.988,5.84835,29.9252,0,98,75,76,2474,1000,4.95468,271,5.91942,0.000106812,0,4441,1575446170
171.097,5.84464,29.9252,0,98,75,76,2474,1000,4.95468,271,5.91942,0.000106812,0,4441,1679533319
178.13,5.61388,29.9252,0,98,75,76,2474,1000,4.95468,271,5.91942,0.000106812,0,4441,1784404397
159.993,6.25029,29.9252,0,98,75,76,2474,1000,4.95468,271,5.91942,0.000106812,0,4441,1888486947
177.958,5.6193,32.0401,0,98,75,76,2464,1000,4.95468,271,5.95211,0.000106812,0,4443,1993265562
169.301,5.90665,32.0401,0,98,75,76,2464,1000,4.95468,271,5.95211,0.000106812,0,4443,2097382427
180.98,5.52546,32.0401,0,98,75,76,2464,1000,4.95468,271,5.95211,0.000106812,0,4443,2201461601
171.118,5.84393,32.0401,0,98,75,76,2464,1000,4.95468,271,5.95211,0.000106812,0,4443,2305544181
172.901,5.78364,32.0401,0,98,75,76,2464,1000,4.95468,271,5.95211,0.000106812,0,4443,2409627282
177.042,5.64839,30.6832,0,99,75,76,2461,1000,4.95515,271,5.95259,0.000106812,0,4450,2513711736
169.153,5.91181,30.6832,0,99,75,76,2461,1000,4.95515,271,5.95259,0.000106812,0,4450,2617797101
171.522,5.83017,30.6832,0,99,75,76,2461,1000,4.95515,271,5.95259,0.000106812,0,4450,2721880613
186.226,5.36981,30.6832,0,99,75,76,2461,1000,4.95515,271,5.95259,0.000106812,0,4450,2825962802
176.949,5.65133,30.6832,0,99,75,76,2461,1000,4.95515,271,5.95259,0.000106812,0,4450,2930041525
165.922,6.02692,30.9613,0,99,75,76,2458,1000,4.95468,271,5.95518,0.000106812,0,4442,3034131038
171.622,5.82674,30.9613,0,99,75,76,2458,1000,4.95468,271,5.95518,0.000106812,0,4442,3138214821
187.495,5.33348,30.9613,0,99,75,76,2458,1000,4.95468,271,5.95518,0.000106812,0,4442,3242305115
171.563,5.82875,30.9613,0,99,75,76,2458,1000,4.95468,271,5.95518,0.000106812,0,4442,3346382225
157.839,6.33557,30.7311,0,99,75,76,2458,1000,4.95468,271,5.96292,0.000106812,0,4441,3450686301
153.474,6.51576,30.7311,0,99,75,76,2458,1000,4.95468,271,5.96292,0.000106812,0,4441,3554770474
173.417,5.76645,30.7311,0,99,75,76,2458,1000,4.95468,271,5.96292,0.000106812,0,4441,3658853104
184.597,5.4172,30.7311,0,99,75,76,2458,1000,4.95468,271,5.96292,0.000106812,0,4441,3762935364
161.221,6.20266,30.7311,0,99,75,76,2458,1000,4.95468,271,5.96292,0.000106812,0,4441,3867021781
183.566,5.44764,30.7692,0,99,75,76,2467,1000,4.95468,271,5.93095,0.000106812,0,4444,3971160046
196.234,5.09595,30.7692,0,99,75,76,2467,1000,4.95468,271,5.93095,0.000106812,0,4444,4075240241
195.104,5.12547,30.7692,0,99,75,76,2467,1000,4.95468,271,5.93095,0.000106812,0,4444,4179398764
163.211,6.12704,30.7692,0,99,75,76,2467,1000,4.95468,271,5.93095,0.000106812,0,4444,4283488798
174.962,5.71552,30.7692,0,99,75,76,2467,1000,4.95468,271,5.93095,0.000106812,0,4444,4387575025
168.485,5.93524,30.5868,0,99,75,76,2467,1000,4.95468,271,5.92665,0.000106812,0,4458,4491754727
175.849,5.6867,30.5868,0,99,75,76,2467,1000,4.95468,271,5.92665,0.000106812,0,4458,4595851093
168.163,5.94661,30.5868,0,99,75,76,2467,1000,4.95468,271,5.92665,0.000106812,0,4458,4699927382
175.973,5.68268,30.5868,0,99,75,76,2467,1000,4.95468,271,5.92665,0.000106812,0,4458,4804012847
182.006,5.49431,30.5868,0,99,75,76,2467,1000,4.95468,271,5.92665,0.000106812,0,4458,4908091721
158.993,6.28957,31.9255,0,99,76,76,2478,1000,4.95468,271,5.94887,0.000106812,0,4465,5012170233
145.179,6.88805,31.9255,0,99,76,76,2478,1000,4.95468,271,5.94887,0.000106812,0,4465,5116256660
149.208,6.70208,31.9255,0,99,76,76,2478,1000,4.95468,271,5.94887,0.000106812,0,4465,5220406847
224.829,4.44783,31.9255,0,99,76,76,2478,1000,4.95468,271,5.94887,0.000106812,0,4465,5324494627
174.264,5.73842,31.9255,0,99,76,76,2478,1000,4.95468,271,5.94887,0.000106812,0,4465,5428800176
164.723,6.0708,32.9588,0,99,76,76,2479,1000,4.95468,271,5.9962,0.000106812,0,4441,5532886352
202.816,4.93057,32.9588,0,99,76,76,2479,1000,4.95468,271,5.9962,0.000106812,0,4441,5636969754
185.462,5.39193,32.9588,0,99,76,76,2479,1000,4.95468,271,5.9962,0.000106812,0,4441,5741058125
174.026,5.74626,32.9588,0,99,76,76,2479,1000,4.95468,271,5.9962,0.000106812,0,4441,5845139964
175.184,5.70827,32.9588,0,99,76,76,2479,1000,4.95468,271,5.9962,0.000106812,0,4441,5950539113
171.712,5.82369,30.9136,0,98,76,76,2478,1000,4.96249,271,5.98717,0.000106812,0,4457,6054619649
172.815,5.78654,30.9136,0,98,76,76,2478,1000,4.96249,271,5.98717,0.000106812,0,4457,6158702520
