os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT ,32764444,7.0.9-arch1-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
43.632,22.9189,12.75,0,99,71,64,2484,1000,5.10765,271,5.54841,0,0,4784,559516847
45.7583,21.854,12.75,0,99,71,64,2484,1000,5.10765,271,5.54841,0,0,4784,663725150
45.3039,22.0732,12.75,0,99,71,64,2484,1000,5.10765,271,5.54841,0,0,4784,767809030
46.036,21.7221,12.75,0,99,71,64,2484,1000,5.10765,271,5.54841,0,0,4784,871896386
44.2964,22.5752,13.2934,0,99,71,64,2500,1000,5.10765,271,5.56293,0,0,4753,975989182
44.107,22.6721,13.2934,0,99,71,64,2500,1000,5.10765,271,5.56293,0,0,4753,1080075887
45.5377,21.9598,13.2934,0,99,71,64,2500,1000,5.10765,271,5.56293,0,0,4753,1184169425
41.5239,24.0825,13.2934,0,99,71,64,2500,1000,5.10765,271,5.56293,0,0,4753,1288249327
47.3333,21.1268,13.2934,0,99,71,64,2500,1000,5.10765,271,5.56293,0,0,4753,1392335802
41.8354,23.9032,13.4132,0,99,70,64,2472,1000,5.10764,271,5.56267,0,0,4762,1496442784
40.2867,24.8221,13.4132,0,99,70,64,2472,1000,5.10764,271,5.56267,0,0,4762,1600528087
42.8764,23.3229,13.4132,0,99,70,64,2472,1000,5.10764,271,5.56267,0,0,4762,1704623758
44.1301,22.6603,13.4132,0,99,70,64,2472,1000,5.10764,271,5.56267,0,0,4762,1808707187
41.9728,23.825,13.4132,0,99,70,64,2472,1000,5.10764,271,5.56267,0,0,4762,1912798420
42.3851,23.5932,13.0383,0,99,70,64,2498,1000,5.1096,271,5.56199,0,0,4658,2016896236
41.4817,24.107,13.0383,0,99,70,64,2498,1000,5.1096,271,5.56199,0,0,4658,2120979986
44.6437,22.3996,13.0383,0,99,70,64,2498,1000,5.1096,271,5.56199,0,0,4658,2225071199
42.7204,23.408,13.0383,0,99,70,64,2498,1000,5.1096,271,5.56199,0,0,4658,2329155820
45.3744,22.0389,13.0383,0,99,70,64,2498,1000,5.1096,271,5.56199,0,0,4658,2433247584
42.7803,23.3753,13.3094,0,99,69,65,2474,1000,5.09293,271,5.56273,0,0,4687,2537339860
45.9264,21.7739,13.3094,0,99,69,65,2474,1000,5.09293,271,5.56273,0,0,4687,2641429370
48.4875,20.6239,13.3094,0,99,69,65,2474,1000,5.09293,271,5.56273,0,0,4687,2745533106
50.8772,19.6552,13.3094,0,99,69,65,2474,1000,5.09293,271,5.56273,0,0,4687,2849618449
43.4984,22.9893,13.3094,0,99,69,65,2474,1000,5.09293,271,5.56273,0,0,4687,2953710073
43.8505,22.8048,12.4246,0,99,69,65,2474,1000,5.09293,271,5.56274,0,0,4765,3057816465
43.4874,22.9952,12.4246,0,99,69,65,2474,1000,5.09293,271,5.56274,0,0,4765,3161900404
45.3191,22.0657,12.4246,0,99,69,65,2474,1000,5.09293,271,5.56274,0,0,4765,3265991287
41.4008,24.1541,12.4246,0,99,69,65,2474,1000,5.09293,271,5.56274,0,0,4765,3370075938
44.3883,22.5285,12.4246,0,99,69,65,2474,1000,5.09293,271,5.56274,0,0,4765,3474167151
42.4512,23.5565,12.5156,0,99,68,65,2477,1000,5.09293,271,5.56254,0,0,4653,3578277511
45.796,21.836,12.5156,0,99,68,65,2477,1000,5.09293,271,5.56254,0,0,4653,3682358775
46.4883,21.5108,12.5156,0,99,68,65,2477,1000,5.09293,271,5.56254,0,0,4653,3786443957
48.6808,20.542,12.5156,0,99,68,65,2477,1000,5.09293,271,5.56254,0,0,4653,3890535040
45.3623,22.0448,12.5156,0,99,68,65,2477,1000,5.09293,271,5.56254,0,0,4653,3994635171
44.2056,22.6216,12.4547,0,99,68,65,2489,1000,5.09488,271,5.56064,0,0,4715,4098791766
40.3361,24.7917,12.4547,0,99,68,65,2489,1000,5.09488,271,5.56064,0,0,4715,4202875355
45.8695,21.801,12.4547,0,99,68,65,2489,1000,5.09488,271,5.56064,0,0,4715,4306960868
44.3986,22.5232,12.4547,0,99,68,65,2489,1000,5.09488,271,5.56064,0,0,4715,4411047854
46.0316,21.7242,12.4547,0,99,68,65,2489,1000,5.09488,271,5.56064,0,0,4715,4515134659
45.5405,21.9585,12.7404,0,99,68,65,2473,1000,5.089,271,5.558,0,0,4714,4619249937
49.6225,20.1522,12.7404,0,99,68,65,2473,1000,5.089,271,5.558,0,0,4714,4723334328
45.982,21.7477,12.7404,0,99,68,65,2473,1000,5.089,271,5.558,0,0,4714,4827421423
49.3425,20.2665,12.7404,0,99,68,65,2473,1000,5.089,271,5.558,0,0,4714,4931541681
44.0027,22.7259,12.7404,0,99,68,65,2473,1000,5.089,271,5.558,0,0,4714,5035627614
48.3738,20.6723,12.3636,0,99,67,66,2500,1000,5.089,271,5.56269,0,0,4615,5139716844
45.7155,21.8744,12.3636,0,99,67,66,2500,1000,5.089,271,5.56269,0,0,4615,5243823677
44.5187,22.4625,12.3636,0,99,67,66,2500,1000,5.089,271,5.56269,0,0,4615,5347913537
45.713,21.8756,12.3636,0,99,67,66,2500,1000,5.089,271,5.56269,0,0,4615,5451998940
42.9618,23.2765,12.3636,0,99,67,66,2500,1000,5.089,271,5.56269,0,0,4615,5556097587
44.2171,22.6157,11.6564,0,99,67,66,2484,1000,5.09488,271,5.55615,0,0,4685,5660181427
42.9023,23.3088,11.6564,0,99,67,66,2484,1000,5.09488,271,5.55615,0,0,4685,5764264344
46.1017,21.6912,11.6564,0,99,67,66,2484,1000,5.09488,271,5.55615,0,0,4685,5868351701
45.2402,22.1042,11.6564,0,99,67,66,2484,1000,5.09488,271,5.55615,0,0,4685,5972436081
43.852,22.804,11.6564,0,99,67,66,2484,1000,5.09488,271,5.55615,0,0,4685,6076539347
42.4832,23.5387,12.4239,0,99,67,65,2468,1000,5.09488,271,5.55402,0,0,4665,6180625461
42.8192,23.354,12.4239,0,99,67,65,2468,1000,5.09488,271,5.55402,0,0,4665,6284719109
44.0046,22.7249,12.4239,0,99,67,65,2468,1000,5.09488,271,5.55402,0,0,4665,6388813969
41.985,23.818,12.4239,0,99,67,65,2468,1000,5.09488,271,5.55402,0,0,4665,6492901165
44.9124,22.2656,12.4239,0,99,67,65,2468,1000,5.09488,271,5.55402,0,0,4665,6596990354
44.944,22.2499,13.6253,0,99,66,66,2483,1000,5.09488,271,5.55449,0,0,4665,6701094993
44.2785,22.5843,13.6253,0,99,66,66,2483,1000,5.09488,271,5.55449,0,0,4665,6805179664
42.6828,23.4287,13.6253,0,99,66,66,2483,1000,5.09488,271,5.55449,0,0,4665,6909267501
42.1696,23.7138,13.6253,0,99,66,66,2483,1000,5.09488,271,5.55449,0,0,4665,7013367430
48.1549,20.7663,13.6253,0,99,66,66,2483,1000,5.09488,271,5.55449,0,0,4665,7117436041
43.4029,23.04,13.0061,0,99,66,66,2492,1000,5.09683,271,5.55494,0,0,4620,7221532204
44.2556,22.596,13.0061,0,99,66,66,2492,1000,5.09683,271,5.55494,0,0,4620,7325623367
44.4285,22.5081,13.0061,0,99,66,66,2492,1000,5.09683,271,5.55494,0,0,4620,7429705423
47.0762,21.2421,13.0061,0,99,66,66,2492,1000,5.09683,271,5.55494,0,0,4620,7533800975
45.5328,21.9622,13.0061,0,99,66,66,2492,1000,5.09683,271,5.55494,0,0,4620,7637884965
47.7721,20.9327,12.6103,0,99,66,66,2492,1000,5.09683,271,5.55605,0,0,4640,7741974735
39.2466,25.4799,12.6103,0,99,66,66,2492,1000,5.09683,271,5.55605,0,0,4640,7846073803
42.0803,23.7641,12.6103,0,99,66,66,2492,1000,5.09683,271,5.55605,0,0,4640,7950171930
