os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT ,32764440,7.0.9-arch1-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
49.2931,20.2868,3.81304,0,94,73,63,2569,1000,4.7146,259,3.51602,0,0,4757,329672268
48.2757,20.7144,3.81304,0,94,73,63,2569,1000,4.7146,259,3.51602,0,0,4757,433801583
49.3855,20.2489,3.81304,0,94,73,63,2569,1000,4.7146,259,3.51602,0,0,4757,537869132
47.2498,21.1641,3.81304,0,94,73,63,2569,1000,4.7146,259,3.51602,0,0,4757,641937873
48.0472,20.8129,3.61446,0,99,72,64,2463,1000,4.69864,270,3.51503,0,0,4759,746014519
47.0989,21.2319,3.61446,0,99,72,64,2463,1000,4.69864,270,3.51503,0,0,4759,850081016
48.4821,20.6262,3.61446,0,99,72,64,2463,1000,4.69864,270,3.51503,0,0,4759,954146932
47.4337,21.082,3.61446,0,99,72,64,2463,1000,4.69864,270,3.51503,0,0,4759,1058213910
46.542,21.486,3.61446,0,99,72,64,2463,1000,4.69864,270,3.51503,0,0,4759,1162278743
47.108,21.2278,3.20592,0,99,71,65,2469,1000,4.69864,271,3.51551,0,0,4742,1266359978
46.5461,21.4841,3.20592,0,99,71,65,2469,1000,4.69864,271,3.51551,0,0,4742,1370427627
46.865,21.3379,3.20592,0,99,71,65,2469,1000,4.69864,271,3.51551,0,0,4742,1474494535
46.8151,21.3606,3.20592,0,99,71,65,2469,1000,4.69864,271,3.51551,0,0,4742,1578562405
47.2701,21.155,3.20592,0,99,71,65,2469,1000,4.69864,271,3.51551,0,0,4742,1682630294
47.0609,21.2491,2.9304,0,99,70,65,2472,1000,4.69864,271,3.50803,0,0,4723,1786697703
47.002,21.2757,2.9304,0,99,70,65,2472,1000,4.69864,271,3.50803,0,0,4723,1890764821
47.7258,20.953,2.9304,0,99,70,65,2472,1000,4.69864,271,3.50803,0,0,4723,1994832340
47.1639,21.2027,2.9304,0,99,70,65,2472,1000,4.69864,271,3.50803,0,0,4723,2098901231
47.0717,21.2442,2.9304,0,99,70,65,2472,1000,4.69864,271,3.50803,0,0,4723,2202968981
46.3131,21.5922,3.07503,0,99,69,65,2472,1000,4.69864,271,3.51773,0,0,4765,2307037411
47.0888,21.2365,3.07503,0,99,69,65,2472,1000,4.69864,271,3.51773,0,0,4765,2411104660
46.0605,21.7106,3.07503,0,99,69,65,2472,1000,4.69864,271,3.51773,0,0,4765,2515170806
47.4564,21.072,3.07503,0,99,69,65,2472,1000,4.69864,271,3.51773,0,0,4765,2619243014
