os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT ,32764444,7.0.9-arch1-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
42.6179,23.4643,12.0958,0,99,72,62,2491,1000,5.08689,271,5.6701,0,0,4643,195387693
40.3819,24.7635,12.0958,0,99,72,62,2491,1000,5.08689,271,5.6701,0,0,4643,299617556
45.0643,22.1905,12.0958,0,99,72,62,2491,1000,5.08689,271,5.6701,0,0,4643,403695845
41.313,24.2055,12.0958,0,99,72,62,2491,1000,5.08689,271,5.6701,0,0,4643,507753586
43.1797,23.159,12.0958,0,99,72,62,2491,1000,5.08689,271,5.6701,0,0,4643,611842204
45.903,21.7851,13.012,0,99,72,62,2500,1000,5.08884,271,5.68636,0,0,4740,715929250
46.46,21.5239,13.012,0,99,72,62,2500,1000,5.08884,271,5.68636,0,0,4740,820018429
42.5981,23.4752,13.012,0,99,72,62,2500,1000,5.08884,271,5.68636,0,0,4740,924117628
46.4803,21.5145,13.012,0,99,72,62,2500,1000,5.08884,271,5.68636,0,0,4740,1028212408
43.1284,23.1866,13.012,0,99,72,62,2500,1000,5.08884,271,5.68636,0,0,4740,1132297239
42.8414,23.3419,12.1981,0,99,71,62,2487,1000,5.10169,271,5.6876,0,0,4677,1236394334
45.8389,21.8156,12.1981,0,99,71,62,2487,1000,5.10169,271,5.6876,0,0,4677,1340519030
45.4616,21.9966,12.1981,0,99,71,62,2487,1000,5.10169,271,5.6876,0,0,4677,1444604432
45.4036,22.0247,12.1981,0,99,71,62,2487,1000,5.10169,271,5.6876,0,0,4677,1548695665
42.3016,23.6398,12.1981,0,99,71,62,2487,1000,5.10169,271,5.6876,0,0,4677,1652775918
42.9864,23.2632,12.6812,0,99,70,63,2493,1000,5.10364,271,5.6829,0,0,4650,1756865108
44.4989,22.4724,12.6812,0,99,70,63,2493,1000,5.10364,271,5.6829,0,0,4650,1860971970
44.2733,22.587,12.6812,0,99,70,63,2493,1000,5.10364,271,5.6829,0,0,4650,1965054848
42.0807,23.7639,12.6812,0,99,70,63,2493,1000,5.10364,271,5.6829,0,0,4650,2069139519
44.2729,22.5872,12.4396,0,99,70,63,2486,1000,5.10169,271,5.67786,0,0,4740,2173245791
41.539,24.0738,12.4396,0,99,70,63,2486,1000,5.10169,271,5.67786,0,0,4740,2277325412
45.6172,21.9216,12.4396,0,99,70,63,2486,1000,5.10169,271,5.67786,0,0,4740,2381420172
40.4336,24.7319,12.4396,0,99,70,63,2486,1000,5.10169,271,5.67786,0,0,4740,2485493973
43.3308,23.0783,12.4396,0,99,70,63,2486,1000,5.10169,271,5.67786,0,0,4740,2589576089
43.6796,22.894,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,2693652505
43.7366,22.8641,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,2797735843
42.1923,23.701,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,2901831736
44.5621,22.4406,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,3005910405
43.0266,23.2414,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,3109996128
45.2338,22.1074,12.7711,0,99,69,63,2498,1000,5.08892,271,5.68332,0,0,4657,3214078004
45.1546,22.1461,12.9964,0,99,69,63,2483,1000,5.08697,271,5.67922,0,0,4663,3318165651
46.4728,21.518,12.9964,0,99,69,63,2483,1000,5.08697,271,5.67922,0,0,4663,3422260792
42.7684,23.3818,12.9964,0,99,69,63,2483,1000,5.08697,271,5.67922,0,0,4663,3526351855
45.6864,21.8884,12.9964,0,99,69,63,2483,1000,5.08697,271,5.67922,0,0,4663,3630466342
42.8597,23.3319,12.9964,0,99,69,63,2483,1000,5.08697,271,5.67922,0,0,4663,3734556373
46.7622,21.3848,12.304,0,99,69,63,2498,1000,5.08697,271,5.6784,0,0,4763,3838641535
46.0024,21.738,12.304,0,99,69,63,2498,1000,5.08697,271,5.6784,0,0,4763,3942740823
42.5407,23.5069,12.304,0,99,69,63,2498,1000,5.08697,271,5.6784,0,0,4763,4046819022
44.3266,22.5598,12.304,0,99,69,63,2498,1000,5.08697,271,5.6784,0,0,4763,4150901770
48.6542,20.5532,12.9071,0,99,68,63,2472,1000,5.08697,271,5.67427,0,0,4740,4254993263
43.4833,22.9973,12.9071,0,99,68,63,2472,1000,5.08697,271,5.67427,0,0,4740,4359076472
43.8229,22.8191,12.9071,0,99,68,63,2472,1000,5.08697,271,5.67427,0,0,4740,4463166864
42.6074,23.4701,12.9071,0,99,68,63,2472,1000,5.08697,271,5.67427,0,0,4740,4567248519
43.6758,22.896,12.9071,0,99,68,63,2472,1000,5.08697,271,5.67427,0,0,4740,4671337548
43.8714,22.7939,12.5452,0,99,68,64,2492,1000,5.08697,271,5.65538,0,0,4657,4775439522
41.5858,24.0467,12.5452,0,99,68,64,2492,1000,5.08697,271,5.65538,0,0,4657,4879533661
45.3595,22.0461,12.5452,0,99,68,64,2492,1000,5.08697,271,5.65538,0,0,4657,4983621267
42.2587,23.6637,12.5452,0,99,68,64,2492,1000,5.08697,271,5.65538,0,0,4657,5087701079
45.721,21.8718,12.5452,0,99,68,64,2492,1000,5.08697,271,5.65538,0,0,4657,5191790459
