os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5800X 8-Core Processor,AMD Radeon RX 6900 XT ,32764440,7.0.9-arch1-1,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
47.0414,21.2579,3.71747,0,99,65,62,2483,1000,4.59132,271,3.28663,0,0,4791,295055050
47.6024,21.0073,3.71747,0,99,65,62,2483,1000,4.59132,271,3.28663,0,0,4791,399348612
45.8989,21.787,3.71747,0,99,65,62,2483,1000,4.59132,271,3.28663,0,0,4791,503416572
45.2113,22.1184,3.71747,0,99,65,62,2483,1000,4.59132,271,3.28663,0,0,4791,607487317
43.5031,22.9869,2.92326,0,99,64,63,2477,1000,4.59132,271,3.29125,0,0,4741,711561428
46.8716,21.3349,2.92326,0,99,64,63,2477,1000,4.59132,271,3.29125,0,0,4741,815631372
46.1533,21.6669,2.92326,0,99,64,63,2477,1000,4.59132,271,3.29125,0,0,4741,919698280
45.9649,21.7557,2.92326,0,99,64,63,2477,1000,4.59132,271,3.29125,0,0,4741,1023777801
46.4098,21.5472,2.92326,0,99,64,63,2477,1000,4.59132,271,3.29125,0,0,4741,1127857573
46.6623,21.4306,3.26481,0,99,63,63,2481,1000,4.59132,271,3.28427,0,0,4791,1231929350
46.0157,21.7317,3.26481,0,99,63,63,2481,1000,4.59132,271,3.28427,0,0,4791,1335997019
46.2287,21.6316,3.26481,0,99,63,63,2481,1000,4.59132,271,3.28427,0,0,4791,1440065339
45.6478,21.9068,3.26481,0,99,63,63,2481,1000,4.59132,271,3.28427,0,0,4791,1544136375
45.9646,21.7559,3.26481,0,99,63,63,2481,1000,4.59132,271,3.28427,0,0,4791,1648205707
47.1626,21.2033,3.1401,0,99,62,63,2481,1000,4.59132,271,3.28291,0,0,4793,1752273857
46.5949,21.4616,3.1401,0,99,62,63,2481,1000,4.59132,271,3.28291,0,0,4793,1856345664
46.1781,21.6553,3.1401,0,99,62,63,2481,1000,4.59132,271,3.28291,0,0,4793,1960415527
46.1978,21.646,3.1401,0,99,62,63,2481,1000,4.59132,271,3.28291,0,0,4793,2064483778
46.9052,21.3196,3.1401,0,99,62,63,2481,1000,4.59132,271,3.28291,0,0,4793,2168553030
46.0151,21.732,3.25694,0,99,62,63,2476,1000,4.59132,271,3.28291,0,0,4790,2272622633
46.5279,21.4925,3.25694,0,99,62,63,2476,1000,4.59132,271,3.28291,0,0,4790,2376692706
46.6067,21.4561,3.25694,0,99,62,63,2476,1000,4.59132,271,3.28291,0,0,4790,2480762389
47.2465,21.1656,3.25694,0,99,62,63,2476,1000,4.59132,271,3.28291,0,0,4790,2584799431
45.9807,21.7483,3.25694,0,99,62,63,2476,1000,4.59132,271,3.28291,0,0,4790,2688868252
46.2912,21.6024,3.27273,0,99,61,64,2484,1000,4.59132,271,3.28163,0,0,4790,2792937575
46.5632,21.4762,3.27273,0,99,61,64,2484,1000,4.59132,271,3.28163,0,0,4790,2897006807
45.59,21.9346,3.27273,0,99,61,64,2484,1000,4.59132,271,3.28163,0,0,4790,3001076630
46.8388,21.3498,3.27273,0,99,61,64,2484,1000,4.59132,271,3.28163,0,0,4790,3105146153
45.2637,22.0928,3.27273,0,99,61,64,2484,1000,4.59132,271,3.28163,0,0,4790,3209214453
46.4555,21.526,3.0303,0,99,60,64,2464,1000,4.59132,271,3.28163,0,0,4791,3313281942
46.9205,21.3126,3.0303,0,99,60,64,2464,1000,4.59132,271,3.28163,0,0,4791,3417350543
46.1597,21.6639,3.0303,0,99,60,64,2464,1000,4.59132,271,3.28163,0,0,4791,3521420737
46.1216,21.6818,3.0303,0,99,60,64,2464,1000,4.59132,271,3.28163,0,0,4791,3625501060
47.4772,21.0627,3.0303,0,99,60,64,2464,1000,4.59132,271,3.28163,0,0,4791,3729570552
46.0381,21.7212,3.60577,0,99,59,64,2482,1000,4.5766,271,3.28062,0,0,4801,3833640987
46.6763,21.4241,3.60577,0,99,59,64,2482,1000,4.5766,271,3.28062,0,0,4801,3937710449
